MIMIC_PopulationSize:n;CpuTimeSeconds;ProblemSize	(100,0.38475299200000007);(200,6.008501162);(300,21.918219015000005);(400,58.05697935099998);(500,122.911048698)
FastMIMIC_PopulationSize:n_NumSampledPositions:sqrt(n);CpuTimeSeconds;ProblemSize	(100,0.679612879);(200,4.5031422659999985);(300,14.556714200000005);(400,32.81075185300001);(500,59.77545235100001)
FastMIMIC_PopulationSize:n_NumSampledPositions:2*sqrt(n);CpuTimeSeconds;ProblemSize	(100,0.405544248);(200,2.1368860709999997);(300,7.788894191000001);(400,17.352398852999997);(500,33.98514221399999)
FastMIMIC_PopulationSize:n_NumSampledPositions:log(n);CpuTimeSeconds;ProblemSize	(100,1.1495205270000002);(200,10.037686700000004);(300,35.08376783400001);(400,98.27090178199997);(500,218.94931042)
FastMIMIC_PopulationSize:n_NumSampledPositions:n/log(n);CpuTimeSeconds;ProblemSize	(100,0.5141099950000002);(200,2.7348486460000005);(300,7.844453787);(400,15.864382517);(500,29.017329244000006)
FastMIMIC_PopulationSize:n_NumSampledPositions:n/2;CpuTimeSeconds;ProblemSize	(100,0.41057703600000006);(200,3.6529771879999995);(300,12.636060086999999);(400,31.339696911);(500,64.276118505)
FastMIMIC_PopulationSize:n_NumSampledPositions:n/4;CpuTimeSeconds;ProblemSize	(100,0.3957353120000002);(200,2.3510614260000002);(300,7.132410460000001);(400,16.155227169000003);(500,31.914596906000007)
FastMIMIC_PopulationSize:n_NumSampledPositions:n/8;CpuTimeSeconds;ProblemSize	(100,0.5935038559999999);(200,2.9360361870000005);(300,7.738614082999999);(400,15.328606808999998);(500,27.603128638)
